databank	nb_OTU	dataset	set_number	amplicon	abundance_law	method	Genus	Family	Order	Class	Phylum	OTU lost	OTU false
utax	20sp	dataset_4	set10	V3V4	powerlaw	mothur	0.636325428183	0.629596949742	0.629596949742	0.609316708614	0.609316708614	0	625
utax	20sp	dataset_5	set1	V3V4	powerlaw	mothur	1.03935355576	1.01738872265	1.01429781065	0.978761431247	0.978761431247	0	493
utax	20sp	dataset_5	set2	V3V4	powerlaw	mothur	1.36995927707	1.33547912645	1.29320903109	1.28360699734	1.28360699734	0	374
utax	20sp	dataset_5	set3	V3V4	powerlaw	mothur	0.922846117452	0.869553068411	0.868524632149	0.868524632149	0.868524632149	0	560
utax	20sp	dataset_5	set4	V3V4	powerlaw	mothur	0.897341905475	0.871354841551	0.793422503401	0.733003522148	0.733003522148	0	421
utax	20sp	dataset_5	set5	V3V4	powerlaw	mothur	1.17764891973	1.16838317827	1.1591174368	1.1591174368	1.1591174368	0	452
utax	20sp	dataset_5	set6	V3V4	powerlaw	mothur	0.677755341835	0.661039659227	0.65083059528	0.58962236325	0.58962236325	0	589
utax	20sp	dataset_5	set7	V3V4	powerlaw	mothur	0.827905412229	0.757615900221	0.756643236014	0.707991295828	0.707991295828	0	475
utax	20sp	dataset_5	set8	V3V4	powerlaw	mothur	1.30854765702	1.26713886624	1.24102585992	1.24102585992	1.24102585992	0	497
utax	20sp	dataset_5	set9	V3V4	powerlaw	mothur	1.34491682736	1.34491682736	1.19466638904	1.19370889485	1.19370889485	0	491
utax	20sp	dataset_5	set10	V3V4	powerlaw	mothur	1.35404466526	1.31451986697	1.29196594346	1.29196594346	1.29196594346	0	529
utax	100sp	dataset_1	set1	V3V4	powerlaw	mothur	9.27514063231	7.86566579866	7.76184588959	7.69588909763	7.51927565332	-4	1101
utax	100sp	dataset_1	set2	V3V4	powerlaw	mothur	1.56885467186	0.923979450108	0.885296776151	0.792482778412	0.378539005756	-4	1024
utax	100sp	dataset_1	set3	V3V4	powerlaw	mothur	2.45341607802	1.87302255066	1.80969851549	1.72306702812	0.708269087602	-4	1205
utax	100sp	dataset_1	set4	V3V4	powerlaw	mothur	1.74208727663	1.227981392	1.19520979081	1.12693780098	0.764485433051	-4	1039
utax	100sp	dataset_1	set5	V3V4	powerlaw	mothur	1.87056276521	1.26179050549	1.15199696227	1.03698258278	0.733788430889	-4	925
utax	100sp	dataset_1	set6	V3V4	powerlaw	mothur	1.80161019276	1.47995946714	1.42363829133	1.31122253879	0.862810298632	-4	1030
utax	100sp	dataset_1	set7	V3V4	powerlaw	mothur	1.16246993282	0.796025765994	0.735818373185	0.644652758004	0.404713286826	-4	1174
utax	100sp	dataset_1	set8	V3V4	powerlaw	mothur	2.06347574732	1.59186143821	1.52691295151	1.42869986937	0.993349309963	-4	1669
utax	100sp	dataset_1	set9	V3V4	powerlaw	mothur	14.5876331258	14.0478461898	14.0022982787	13.9876770402	5.61993357371	-4	1267
utax	100sp	dataset_1	set10	V3V4	powerlaw	mothur	1.71462337018	1.11413408108	1.04257216464	0.946430116016	0.727109819097	-4	1068
utax	100sp	dataset_2	set1	V3V4	powerlaw	mothur	5.20401587482	2.05647273653	1.91125704375	1.85030887013	1.41732800743	-5	1274
utax	100sp	dataset_2	set2	V3V4	powerlaw	mothur	2.25527286086	1.32799666548	1.27696035028	1.22981090836	0.575233766102	-5	1298
utax	100sp	dataset_2	set3	V3V4	powerlaw	mothur	1.58873684094	0.830249552793	0.759608187219	0.729918900335	0.390946888563	-5	1151
utax	100sp	dataset_2	set4	V3V4	powerlaw	mothur	2.38232504043	1.85360574352	1.7842345801	1.74581396385	0.688703733106	-5	1200
utax	100sp	dataset_2	set5	V3V4	powerlaw	mothur	1.97197550392	1.29523970771	1.21958958738	1.16604628899	0.462937094078	-5	1004
utax	100sp	dataset_2	set6	V3V4	powerlaw	mothur	9.33102892392	1.20520454159	1.15352050376	1.10865052179	0.756130359198	-5	912
utax	100sp	dataset_2	set7	V3V4	powerlaw	mothur	5.69692339596	1.52036475711	1.44974833758	1.19855393932	0.427343211354	-5	1155
utax	100sp	dataset_2	set8	V3V4	powerlaw	mothur	1.56531673454	0.671069509339	0.599943404833	0.579065666725	0.326219996064	-5	1332
utax	100sp	dataset_2	set9	V3V4	powerlaw	mothur	3.35621287899	1.20461375257	1.0460792187	0.993288952686	0.517839318899	-5	1742
utax	100sp	dataset_2	set10	V3V4	powerlaw	mothur	1.69129859275	0.829336946546	0.790840922628	0.720508224423	0.528293604591	-5	1602
utax	100sp	dataset_3	set1	V3V4	powerlaw	mothur	2.04429961206	1.60367556054	1.40244184872	1.30286720609	1.20580520883	-3	944
utax	100sp	dataset_3	set2	V3V4	powerlaw	mothur	1.14993207033	0.974857446983	0.889503572107	0.849538218742	0.676327649694	-3	1094
utax	100sp	dataset_3	set3	V3V4	powerlaw	mothur	2.123129444	1.26936608938	1.09780375561	1.03307288315	0.608427488407	-3	1188
utax	100sp	dataset_3	set4	V3V4	powerlaw	mothur	1.92953838736	0.902341916742	0.812158831425	0.770021632064	0.457818830127	-3	1519
utax	100sp	dataset_3	set5	V3V4	powerlaw	mothur	1.27170736791	0.880865223811	0.609077247978	0.460009473852	0.23698071875	-3	1110
utax	100sp	dataset_3	set6	V3V4	powerlaw	mothur	2.18267547211	1.03679701781	0.873019162806	0.778803250733	0.499300642732	-3	1568
utax	100sp	dataset_3	set7	V3V4	powerlaw	mothur	3.02651321939	1.07524993817	0.936514716706	0.817117916069	0.615954275705	-3	1452
utax	100sp	dataset_3	set8	V3V4	powerlaw	mothur	3.09372879062	1.63214003051	1.51169597619	1.46727155565	1.33023359468	-3	1727
utax	100sp	dataset_3	set9	V3V4	powerlaw	mothur	1.01381954955	0.855351154606	0.720197120662	0.627899077717	0.502582241425	-3	1976
utax	100sp	dataset_3	set10	V3V4	powerlaw	mothur	1.82531730835	1.49395405368	1.40522744112	1.35271494677	0.506115182683	-3	1355
utax	100sp	dataset_4	set1	V3V4	powerlaw	mothur	3.70465950177	1.83216453552	1.67993552701	1.54389657125	1.48573791184	-3	1430
utax	100sp	dataset_4	set2	V3V4	powerlaw	mothur	4.86783617153	1.47955551149	1.35717760396	1.31436059113	1.29794467625	-3	1636
utax	100sp	dataset_4	set3	V3V4	powerlaw	mothur	3.66407011827	1.90908382239	1.82842285296	1.7916200717	1.22480764767	-3	782
utax	100sp	dataset_4	set4	V3V4	powerlaw	mothur	2.20929418874	1.36308482951	1.13346764475	1.04921737364	0.80973119947	-3	1638
utax	100sp	dataset_4	set5	V3V4	powerlaw	mothur	20.573590182	20.0545493693	20.0458541028	19.44614407	19.0398939993	-3	1026
utax	100sp	dataset_4	set6	V3V4	powerlaw	mothur	2.46613000246	1.35148866272	1.27385076105	0.975332232713	0.845767593789	-4	1500
utax	100sp	dataset_4	set7	V3V4	powerlaw	mothur	2.22193700882	1.76318875132	1.63169597088	1.52159269947	1.07335928534	-3	961
utax	100sp	dataset_4	set8	V3V4	powerlaw	mothur	1.73394419604	1.45601472041	1.40502702077	1.3358328431	0.549876504851	-4	1237
utax	100sp	dataset_4	set9	V3V4	powerlaw	mothur	1.79528165025	1.28338904009	1.08191278587	1.00474494023	0.508780507328	-3	1017
utax	100sp	dataset_4	set10	V3V4	powerlaw	mothur	2.2445444139	1.23972601407	1.17146243222	1.15308741442	0.442781101926	-4	881
utax	100sp	dataset_5	set1	V3V4	powerlaw	mothur	1.56364359868	1.42232245825	1.27157190385	1.21511874292	1.04916417386	-2	1705
utax	100sp	dataset_5	set2	V3V4	powerlaw	mothur	1.55633832743	1.29555972777	1.21978954752	1.153286133	0.519125654311	-2	1208
utax	100sp	dataset_5	set3	V3V4	powerlaw	mothur	1.19520036494	1.05691363982	0.907380054129	0.888715998991	0.690677007497	-1	1147
utax	100sp	dataset_5	set4	V3V4	powerlaw	mothur	2.09610940178	1.8404439372	1.79762631908	1.75673307555	1.35868170829	-2	1470
utax	100sp	dataset_5	set5	V3V4	powerlaw	mothur	1.31196739763	1.08822326932	0.95227453781	0.935444029761	0.68801643753	-2	1053
utax	100sp	dataset_5	set6	V3V4	powerlaw	mothur	2.23295655881	1.86988286598	1.78808214664	1.77948363765	0.980139213631	-1	1200
utax	100sp	dataset_5	set7	V3V4	powerlaw	mothur	0.988276136528	0.820973664932	0.768901141786	0.762364722613	0.371909710033	-2	1211
utax	100sp	dataset_5	set8	V3V4	powerlaw	mothur	0.947752931512	0.65567392974	0.602759357136	0.572383029166	0.352865247355	-2	1489
utax	100sp	dataset_5	set9	V3V4	powerlaw	mothur	0.841301077671	0.633952419253	0.437420214475	0.380248636804	0.109391955857	-2	1313
utax	100sp	dataset_5	set10	V3V4	powerlaw	mothur	1.12370583899	0.899827178136	0.804998875583	0.747081997012	0.680288974209	-2	1587
utax	200sp	dataset_1	set1	V3V4	powerlaw	mothur	3.53410485855	2.01992072413	1.83933950419	1.57504820918	0.898139127732	-13	1856
utax	200sp	dataset_1	set2	V3V4	powerlaw	mothur	7.48712383027	5.3482578324	5.22312841993	3.81952806271	3.36930462257	-12	1122
utax	200sp	dataset_1	set3	V3V4	powerlaw	mothur	5.67318804335	1.916826455	1.58767975662	1.37404048846	0.83300012917	-13	1914
utax	200sp	dataset_1	set4	V3V4	powerlaw	mothur	2.84236237807	1.27378821883	1.13427248252	1.09007772933	1.01569942944	-14	1570
utax	200sp	dataset_1	set5	V3V4	powerlaw	mothur	2.78240698561	1.6796768783	1.5119283604	1.41371272161	1.23547580316	-13	1973
utax	200sp	dataset_1	set6	V3V4	powerlaw	mothur	3.65087224254	1.85970859118	1.69752365188	1.49317545811	1.26598936946	-12	1319
utax	200sp	dataset_1	set7	V3V4	powerlaw	mothur	2.92799674697	1.3423075091	1.15896976883	0.898632873592	0.874094100043	-13	2000
