databank	nb_OTU	dataset	set_number	amplicon	abundance_law	method	Species	Genus	Family	Order	Class	Phylum	OTU lost	OTU false
silva	20sp	dataset_4	set6	V3V4	powerlaw	mothur	48.7935644585	0.574768562196	0.537140750807	0.365164260077	0.365164260077	0.31949367512	-2	607
silva	20sp	dataset_4	set7	V3V4	powerlaw	mothur	16.2869075192	0.961372219353	0.959319863762	0.950777414367	0.947614914452	0.834002554448	-2	513
silva	20sp	dataset_4	set8	V3V4	powerlaw	mothur	10.4437340145	1.29155860745	1.26572704646	1.26572704646	1.26572704646	1.26572704646	-2	427
silva	20sp	dataset_4	set9	V3V4	powerlaw	mothur	5.2807242501	1.00192861244	0.927711462221	0.890445526747	0.890445526747	0.447279189852	-2	552
silva	20sp	dataset_4	set10	V3V4	powerlaw	mothur	12.2869731689	1.2308477796	1.19054275849	1.14492238886	1.14492238886	0.490684665652	-2	302
silva	20sp	dataset_5	set1	V3V4	powerlaw	mothur	1.65988669424	0.997438400954	0.988818631108	0.988818631108	0.984035914711	0.974416106209	-1	377
silva	20sp	dataset_5	set2	V3V4	powerlaw	mothur	1.6558653963	1.3650748251	1.33962170426	1.33962170426	1.33653981855	1.33393043841	-1	678
silva	20sp	dataset_5	set3	V3V4	powerlaw	mothur	1.46995606955	0.777190931416	0.770741338585	0.744685790962	0.668188382435	0.633745250653	-1	347
silva	20sp	dataset_5	set4	V3V4	powerlaw	mothur	2.08502484886	0.880272404334	0.872023961228	0.872023961228	0.869961850451	0.776255341498	-1	366
silva	20sp	dataset_5	set5	V3V4	powerlaw	mothur	3.25263598086	1.14562029677	1.14562029677	1.14562029677	1.10832387538	1.10832387538	-1	403
silva	20sp	dataset_5	set6	V3V4	powerlaw	mothur	1.56119764795	1.10754667674	0.948696145651	0.898881842863	0.885632992764	0.822683901704	-1	569
silva	20sp	dataset_5	set7	V3V4	powerlaw	mothur	2.18822724268	1.56622214039	1.56106590651	1.54321630348	1.5418694515	1.46781690886	-1	608
silva	20sp	dataset_5	set8	V3V4	powerlaw	mothur	1.86284386562	1.31795687093	1.31180806995	1.29210889691	1.23025547841	1.09324718769	-1	512
silva	20sp	dataset_5	set9	V3V4	powerlaw	mothur	1.60187295267	1.17868902426	1.17827498366	1.17554606697	1.16971317522	1.16971317522	-1	445
silva	20sp	dataset_5	set10	V3V4	powerlaw	mothur	2.78178115585	0.812068941996	0.787464156365	0.785629359295	0.769821328631	0.643635377161	-1	569
silva	100sp	dataset_1	set1	V3V4	powerlaw	mothur	3.38329701924	1.59353273929	1.07215077521	1.02223446366	0.913235251913	0.865847426247	-6	1006
silva	100sp	dataset_1	set2	V3V4	powerlaw	mothur	2.77268583481	2.11041932517	1.67811031459	1.62496690135	1.5243393504	1.41564197827	-6	1536
silva	100sp	dataset_1	set3	V3V4	powerlaw	mothur	3.31705893347	1.69412263381	1.4622320222	1.38383066714	1.2611007978	1.19783700866	-6	800
silva	100sp	dataset_1	set4	V3V4	powerlaw	mothur	2.13160676191	1.39239481763	1.21098755643	1.14363298507	1.02658983346	0.889693436052	-6	1207
silva	100sp	dataset_1	set5	V3V4	powerlaw	mothur	4.95689963916	3.79097073278	1.43001918385	1.41644170161	1.35796657027	1.17143550963	-6	893
silva	100sp	dataset_1	set6	V3V4	powerlaw	mothur	4.19377302031	1.96498859148	1.85913849298	1.83259462952	1.74808163836	1.40125599509	-6	1430
silva	100sp	dataset_1	set7	V3V4	powerlaw	mothur	7.59416479672	1.35903761084	1.15286376172	1.09511438563	1.00656767692	0.600205144977	-6	1341
silva	100sp	dataset_1	set8	V3V4	powerlaw	mothur	2.32882315623	1.48563022787	1.37995297673	1.29684723442	1.18831076533	1.17383081013	-6	1427
silva	100sp	dataset_1	set9	V3V4	powerlaw	mothur	5.5370148768	4.1571611508	1.40418075594	1.34906566343	1.26735556804	1.00551342647	-6	1002
silva	100sp	dataset_1	set10	V3V4	powerlaw	mothur	2.35860439413	1.27914588503	1.19070503664	1.11293139163	1.04479422275	0.863930683084	-6	896
silva	100sp	dataset_2	set1	V3V4	powerlaw	mothur	4.41032650245	2.97976699698	1.12476724476	1.07714867494	0.934547540742	0.741019859535	-13	1100
silva	100sp	dataset_2	set2	V3V4	powerlaw	mothur	11.6226039355	2.24598848516	1.30324649505	1.21759074981	1.09518652422	0.926939125707	-13	926
silva	100sp	dataset_2	set3	V3V4	powerlaw	mothur	4.90551691526	2.37019187038	0.815834009478	0.769535436091	0.718668460289	0.469341220788	-13	814
silva	100sp	dataset_2	set4	V3V4	powerlaw	mothur	6.87094683856	2.56056270275	1.60182200106	1.55649928255	1.5197969242	1.11828088738	-13	1488
silva	100sp	dataset_2	set5	V3V4	powerlaw	mothur	19.0717764809	17.2639592317	1.16718715178	1.13293306444	1.09602227607	0.379615998117	-13	876
silva	100sp	dataset_2	set6	V3V4	powerlaw	mothur	12.9164466229	5.57289017443	1.14439652347	1.05825655679	1.03864483652	0.260016719046	-13	1617
silva	100sp	dataset_2	set7	V3V4	powerlaw	mothur	14.5659404192	12.0556408997	1.86690456083	1.7884551285	1.66620651415	1.50905864059	-13	1106
silva	100sp	dataset_2	set8	V3V4	powerlaw	mothur	5.50476028114	2.67731305404	1.03916112162	0.957684091886	0.882317161315	0.756335085621	-13	1041
silva	100sp	dataset_2	set9	V3V4	powerlaw	mothur	47.9299627056	4.09476053581	1.73673428921	1.64307219895	1.60430746104	1.52376851502	-13	1199
silva	100sp	dataset_2	set10	V3V4	powerlaw	mothur	8.12874422032	2.72860630534	1.53890354848	1.46909653696	1.43816043488	1.37654326872	-15	896
silva	100sp	dataset_3	set1	V3V4	powerlaw	mothur	3.75799428142	1.28254162677	1.10323302323	0.927346148287	0.905040966992	0.421232169308	-7	713
silva	100sp	dataset_3	set2	V3V4	powerlaw	mothur	3.32703129256	1.11988550209	1.01221587623	0.908946639057	0.876554670443	0.781176109933	-8	888
silva	100sp	dataset_3	set3	V3V4	powerlaw	mothur	4.61293992761	1.20329886223	1.11362594112	1.0720100525	1.01596176728	0.811208743349	-7	1435
silva	100sp	dataset_3	set4	V3V4	powerlaw	mothur	4.22072454806	1.50360637104	1.36294407265	1.32179004977	1.30212943715	0.797392074102	-7	1380
silva	100sp	dataset_3	set5	V3V4	powerlaw	mothur	6.62649830369	1.13750709062	1.01301416644	0.950286999465	0.847541090302	0.731681825661	-7	1074
silva	100sp	dataset_3	set6	V3V4	powerlaw	mothur	7.2363518012	1.80083856524	1.71752334242	1.67584617524	1.65992102273	1.55400823139	-7	1015
silva	100sp	dataset_3	set7	V3V4	powerlaw	mothur	5.22756724996	3.10881743837	3.00261573249	2.96825934344	2.9673404645	2.95836751088	-7	934
silva	100sp	dataset_3	set8	V3V4	powerlaw	mothur	17.3325066842	14.7784928572	14.6963238175	14.6692517087	14.6692517087	14.6692517087	-8	1032
silva	100sp	dataset_3	set9	V3V4	powerlaw	mothur	5.63331812693	3.20930311999	2.88452754636	2.83944460416	2.83133039151	2.78876685909	-8	1066
silva	100sp	dataset_3	set10	V3V4	powerlaw	mothur	3.8105774864	1.96693885145	1.89101075366	1.82553870968	1.79169570975	1.77283969137	-7	942
